label,flag_rate_pct,short_rate_pct,long_rate_pct,jaccard_vs_threat_m4,player_rate_spearman,mean_xp_flagged,mean_xp_other,mean_res_flagged,mean_prog_flagged,cohens_d_xp,cohens_d_res,cohens_d_prog
band_z · Progress-heavy (35/35/30) · P97 global,3.0,3.368,0.0,0.4161,0.6755,0.7761,0.337,0.2901,0.8752,2.635,3.653,1.808
band_z · Progress-heavy (35/35/30) · P97 per-band,3.0,3.0,3.0,0.4099,0.6572,0.79,0.3366,0.3032,0.8854,2.722,3.857,1.837
band_z · Progress-heavy (35/35/30) · P90 score + progress≥P60,9.287,9.685,6.033,0.6588,0.8634,0.7106,0.3133,0.2143,0.8422,2.295,2.71,1.883
band_z · Value+surprise (45/45/10) · P90 global,10.0,10.679,4.463,0.6945,0.8939,0.6968,0.3117,0.2143,0.7415,2.227,2.829,1.528
band_z · Value+surprise (45/45/10) · P90 per-band,10.0,10.0,10.001,0.7123,0.9209,0.7148,0.3097,0.2206,0.7592,2.384,3.004,1.586
band_z · Value+surprise (45/45/10) · P92 global,7.5,8.228,1.567,0.7772,0.9014,0.7242,0.3199,0.2326,0.7777,2.398,3.001,1.596
band_z · Value+surprise (45/45/10) · P92 per-band,7.5,7.5,7.502,0.8148,0.9088,0.745,0.3182,0.2428,0.8003,2.58,3.235,1.672
band_z · Value+surprise (45/45/10) · P95 global,5.0,5.602,0.095,0.6753,0.8611,0.7512,0.3291,0.258,0.818,2.539,3.305,1.677
band_z · Value+surprise (45/45/10) · P95 per-band,5.0,5.0,5.001,0.6624,0.8358,0.7697,0.3281,0.2722,0.8349,2.677,3.56,1.73
band_z · Value+surprise (45/45/10) · P97 global,3.0,3.368,0.0,0.4148,0.6827,0.7741,0.3371,0.2918,0.8548,2.617,3.7,1.744
band_z · Value+surprise (45/45/10) · P97 per-band,3.0,3.0,3.0,0.4067,0.6719,0.7875,0.3367,0.3052,0.8654,2.702,3.912,1.776
band_z · Value+surprise (45/45/10) · P90 score + progress≥P60,8.859,9.398,4.463,0.6726,0.8514,0.7116,0.3151,0.2173,0.8299,2.294,2.74,1.831
band_z · Balanced (45/35/20) · P90 global,10.0,10.637,4.808,0.6951,0.9104,0.7047,0.3108,0.2112,0.7711,2.331,2.725,1.632
band_z · Balanced (45/35/20) · P90 per-band,10.0,10.0,10.001,0.7031,0.9073,0.7211,0.309,0.2171,0.7852,2.473,2.887,1.679
band_z · Balanced (45/35/20) · P92 global,7.5,8.214,1.68,0.7636,0.8978,0.7312,0.3193,0.2297,0.7988,2.493,2.909,1.671
